tagNumber,dateOfBirth,sex,breed,sireTagNumber,damTagNumber,nickname,birthWeight,weaningWeight,status,notes,imagePath,createdAt,updatedAt,photos

PBF 782,2023-01-03,male,Brahman,Mr. PBF P 2318,Lady PBF 377,,,,active,Current Herd Bull,,,,
2,2022-06-01,female,Brahman,N/A,N/A,,,,active,Original DOB string: Acquired 09/23 @ est. 15months,,,,
3,2022-06-01,female,Brahman,N/A,N/A,,,,active,Original DOB string: Acquired 09/23 @ est. 15months,,,,
4,2022-06-01,female,Brahman,N/A,N/A,,,,active,Original DOB string: Acquired 09/23 @ est. 15months,,,,
5,2023-09-01,female,Brahman,N/A,N/A,,,,active,Original DOB string: Acquired 03/24 @ est.  6months,,,,
6,2023-09-01,female,Brahman,N/A,N/A,,,,active,Original DOB string: Acquired 03/24 @ est.  6months,,,,
240,2023-07-01,female,Brahman,N/A,N/A,,,,active,Original DOB string: Acquired 03/24 @ est.  8months,,,,
246,2023-08-01,female,Brahman,N/A,N/A,,,,active,Original DOB string: Acquired 03/24 @ est.  7months,,,,
249,2023-08-01,female,Brahman,N/A,N/A,,,,sold,Sold for 58K | Original DOB string: Acquired 03/24 @ est.  7months,,,,
250,2023-07-01,female,Brahman,N/A,N/A,,,,active,Original DOB string: Acquired 03/24 @ est.  8months,,,,
PBF 884,2024-02-10,female,Brahman,Mr PBF R2190,Lady PBF 427,,,,active,,,,,
PBF 894,2024-02-13,female,Brahman,Mr PBF R2190,Lady PBF 617,,,,active,,,,,
PBF 8184,2024-03-28,female,Brahman,Mr PBF R2190,Lady PBF 8310,,,,active,,,,,
7,2026-05-10,male,Brahman,PBF 782,3,,,,active,,,,,