EXPENSES,,,,SALES,,,,,,
Date,Description,Value,,Date,Description,Value,,,,
01/01/2024,3 hds Heifer,168000,,01/05/2025,Jr. Bull,90000,,Total Expenses,2601700,
02/01/2024,Fencing,22000,,01/10/2025,1 heifer (249),58000,,Total Sales,148000,
03/01/2024,Fencing/Housing,5500,,02/10/2025,,,,TOTAL,2453700,
04/01/2024,Dewormer,6000,,03/10/2025,,,,,,
05/01/2024,Chopper,40000,,04/10/2025,,,,,,
06/01/2024,Silage bag,3000,,05/10/2025,,,,Year,Expenses,Sales
07/01/2024,"Harvest, Weeding, Planting",13900,,06/10/2025,,,,2024,1159400,0
08/01/2024,Iti,6000,,07/10/2025,,,,2025,1006050,148000
09/01/2024,Jr. Bull + Delivery,115000,,08/10/2025,,,,2026,436250,0
10/01/2024,Napier cuttings,10000,,09/10/2025,,,,2027,0,0
11/01/2024,6 hds Heifer,361000,,,,,,,,
12/01/2024,Bunker,20000,,,,,,,,
13/01/2024,35L AI Tank,37000,,,,,,,,
14/01/2024,6L AI tank + AI Gun,16000,,,,,,,,
15/01/2024,Bunker + Labor,20000,,,,,,,,
16/01/2024,Additional bunker + Labor,20000,,,,,,,,
17/01/2024,Robin engine 5hp,6000,,,,,,,,
18/01/2024,"Ivermectin, vitamins, etc.",15000,,,,,,,,
11/08/2024,Bernales Jr. Bull,150000,,,,,,,,
12/08/2024,Pineapple Pulp,20000,,,,,,,,
01/08/2024,August Salary,6000,,,,,,,,
01/09/2024,September Salary,6000,,,,,,,,
15/08/2024,October Salary,12000,,,,,,,,
10/10/2024,Pineapple Pulp,20000,,,,,,,,
31/10/2024,Feed materials,13000,,,,,,,,
01/11/2024,Napier Harvest,24000,,,,,,,,
02/11/2024,November Salary,12000,,,,,,,,
01/12/2024,December Salary,12000,,,,,,,,
01/01/2025,January Salary,12000,,,,,,,,
15/02/2025,Maize for silage,14000,,,,,,,,
15/02/2025,Labor for silaging maize,13800,,,,,,,,
01/02/2025,February Salary,12000,,,,,,,,
01/03/2025,March Salary,12000,,,,,,,,
01/04/2025,April Salary,12000,,,,,,,,
01/05/2025,May Salary,12000,,,,,,,,
01/05/2025,3 hds Bernales Heifers,360000,,,,,,,,
01/05/2025,Cattle chute,20000,,,,,,,,
01/05/2025,20 sacks feeds & Pineapple Pulp,46000,,,,,,,,
01/05/2025,Mineral Block,4500,,,,,,,,
01/05/2025,"Shoppee cattle items March-May(eartags, etc.)",10000,,,,,,,,
15/06/2025,June Salary,12000,,,,,,,,
15/06/2025,Mineral Block,2050,,,,,,,,
15/06/2025,Napier Harvest,15000,,,,,,,,
16/06/2025,"Electric fence,post,etc.",44000,,,,,,,,
15/06/2025,Banana reject,2000,,,,,,,,
30/06/2025,Spent Grain,25600,,,,,,,,
01/07/2025,July Salary,12000,,,,,,,,
01/07/2025,Haul spent grain,4900,,,,,,,,
29/07/2025,Napier Harvest,10000,,,,,,,,
01/08/2025,1 ton molasses,18000,,,,,,,,
01/08/2025,August Salary,12000,,,,,,,,
01/09/2025,September Salary,12000,,,,,,,,
01/09/2025,"Palpate, vitamins, etc.",3000,,,,,,,,
01/10/2025,Mineral Block,4000,,,,,,,,
02/10/2025,30 Evo chopper,175000,,,,,,,,
03/10/2025,new forage bunker + repair,46000,,,,,,,,
04/10/2025,October Salary,12000,,,,,,,,
05/10/2025,Napier harvest,15000,,,,,,,,
06/10/2025,Maize chopping,15000,,,,,,,,
25/11/2025,November Salary,12000,,,,,,,,
25/11/2025,Maize harvest+chopping,12000,,,,,,,,
26/11/2025,mineral Block,2200,,,,,,,,
01/12/2025,December Salary,12000,,,,,,,,
01/01/2026,January Salary,12000,,,,,,,,
15/01/2026,Preg check/deworm/vitamins,3500,,,,,,,,
24/01/2026,Napier harvest(jan 19-24),11900,,,,,,,,
26/01/2026,Harvest Maize - Farbeco,15000,,,,,,,,
01/02/2026,February Salary,12000,,,,,,,,
02/02/2026,"Mineral Block, Electric fence rod, etc.",2850,,,,,,,,
03/02/2026,San Roque Napier planting + daro,4500,,,,,,,,
04/02/2026,Lantud Land clearing,5000,,,,,,,,
08/02/2026,Harvest Maize - Laguyan,15000,,,,,,,,
01/03/2026,March Salary,12000,,,,,,,,
12/03/2026,Napier Harvest,10000,,,,,,,,
13/03/2026,Preg check/deworm/vitamins,3500,,,,,,,,
14/03/2026,1 Bernales Heifer,130000,,,,,,,,
15/03/2026,"Lantud Land clearing,tanom, etc.",50000,,,,,,,,
01/04/2026,April Salary,12000,,,,,,,,
17/03/2026,Elf Cattle Cage,75000,,,,,,,,
18/03/2026,"Dagumbaan lampas, koral, etc.",50000,,,,,,,,
18/05/2026,May Salary,12000,,,,,,,,
19/05/2026,,,,,,,,,,
20/05/2026,,,,,,,,,,
21/05/2026,,,,,,,,,,
22/05/2026,,,,,,,,,,
23/05/2026,,,,,,,,,,
24/05/2026,,,,,,,,,,
25/05/2026,,,,,,,,,,
26/05/2026,,,,,,,,,,
27/05/2026,,,,,,,,,,
28/05/2026,,,,,,,,,,
29/05/2026,,,,,,,,,,
30/05/2026,,,,,,,,,,
31/05/2026,,,,,,,,,,
01/06/2026,,,,,,,,,,
02/06/2026,,,,,,,,,,
03/06/2026,,,,,,,,,,