Tag No.,Date of Birth,Sex,Sire,Dam,Source,Status,No. of Calves,Notes
PBF 782,03/01/2023,Male,Mr. PBF P 2318,Lady PBF 377,PBF,Alive,0,Current Herd Bull
2,Acquired 09/23 @ est. 15months,Female,N/A,N/A,Unknown,Alive,0,
3,Acquired 09/23 @ est. 15months,Female,N/A,N/A,Unknown,Alive,1,
4,Acquired 09/23 @ est. 15months,Female,N/A,N/A,Unknown,Alive,0,
5,Acquired 03/24 @ est.  6months,Female,N/A,N/A,Unknown,Alive,0,
6,Acquired 03/24 @ est.  6months,Female,N/A,N/A,Unknown,Alive,0,
240,Acquired 03/24 @ est.  8months,Female,N/A,N/A,Unknown,Alive,0,
246,Acquired 03/24 @ est.  7months,Female,N/A,N/A,Unknown,Alive,0,
249,Acquired 03/24 @ est.  7months,Female,N/A,N/A,Unknown,Sold,0,Sold for 58K
250,Acquired 03/24 @ est.  8months,Female,N/A,N/A,Unknown,Alive,0,
PBF 884,10/02/2024,Female,Mr PBF R2190,Lady PBF 427,PBF,Alive,0,
PBF 894,13/02/2024,Female,Mr PBF R2190,Lady PBF 617,PBF,Alive,0,
PBF 8184,28/03/2024,Female,Mr PBF R2190,Lady PBF 8310,PBF,Alive,0,
7,10/05/2026,Male,Mr PBF 782,3,Internal,Alive,0,
,11/05/2026,Female,,,,,0,
,12/05/2026,Female,,,,,0,
,13/05/2026,Female,,,,,0,
,14/05/2026,Female,,,,,0,
,15/05/2026,Female,,,,,0,
,16/05/2026,Female,,,,,0,
,17/05/2026,Female,,,,,0,
,18/05/2026,Female,,,,,0,
,19/05/2026,Female,,,,,0,
,20/05/2026,Female,,,,,0,
,21/05/2026,Female,,,,,0,
,22/05/2026,Female,,,,,0,
,23/05/2026,Female,,,,,0,
,24/05/2026,Female,,,,,0,
,25/05/2026,Female,,,,,0,
,26/05/2026,Female,,,,,0,
,27/05/2026,Female,,,,,0,
,28/05/2026,Female,,,,,0,
,29/05/2026,Female,,,,,0,
,30/05/2026,Female,,,,,0,
,31/05/2026,Female,,,,,0,
,01/06/2026,Female,,,,,0,
,21/04/2024,Female,,,,,0,
,22/04/2024,Female,,,,,0,
,23/04/2024,Female,,,,,0,
,24/04/2024,Female,,,,,0,
,25/04/2024,Female,,,,,0,
,26/04/2024,Female,,,,,0,
,27/04/2024,Female,,,,,,
,28/04/2024,Female,,,,,,
,29/04/2024,Female,,,,,,
,30/04/2024,Female,,,,,,
,01/05/2024,Female,,,,,,
,02/05/2024,Female,,,,,,
,03/05/2024,Female,,,,,,
,04/05/2024,Female,,,,,,
,05/05/2024,Female,,,,,,
,06/05/2024,Female,,,,,,
,07/05/2024,Female,,,,,,
,08/05/2024,Female,,,,,,
,09/05/2024,Female,,,,,,
,10/05/2024,Female,,,,,,
,11/05/2024,Female,,,,,,
,12/05/2024,Female,,,,,,
,13/05/2024,Female,,,,,,
,14/05/2024,Female,,,,,,
,15/05/2024,Female,,,,,,
,16/05/2024,Female,,,,,,
,17/05/2024,Female,,,,,,
,18/05/2024,Female,,,,,,
,19/05/2024,Female,,,,,,
,20/05/2024,Female,,,,,,
,21/05/2024,Female,,,,,,
,22/05/2024,Female,,,,,,
,23/05/2024,Female,,,,,,
,24/05/2024,Female,,,,,,
,25/05/2024,Female,,,,,,
,26/05/2024,Female,,,,,,
,27/05/2024,Female,,,,,,
,28/05/2024,Female,,,,,,
,29/05/2024,Female,,,,,,
,30/05/2024,Female,,,,,,
,31/05/2024,Female,,,,,,
,01/06/2024,Female,,,,,,
,02/06/2024,Female,,,,,,
,03/06/2024,Female,,,,,,
,04/06/2024,Female,,,,,,
,05/06/2024,Female,,,,,,
,06/06/2024,Female,,,,,,
,07/06/2024,Female,,,,,,
,08/06/2024,Female,,,,,,
,09/06/2024,Female,,,,,,
,10/06/2024,Female,,,,,,
,11/06/2024,Female,,,,,,
,12/06/2024,Female,,,,,,
,13/06/2024,Female,,,,,,
,14/06/2024,Female,,,,,,
,15/06/2024,Female,,,,,,
,16/06/2024,Female,,,,,,
,17/06/2024,Female,,,,,,
,18/06/2024,,,,,,,
,19/06/2024,,,,,,,
,20/06/2024,,,,,,,
,21/06/2024,,,,,,,
,22/06/2024,,,,,,,
,23/06/2024,,,,,,,
,24/06/2024,,,,,,,
,25/06/2024,,,,,,,
,26/06/2024,,,,,,,
,27/06/2024,,,,,,,
,28/06/2024,,,,,,,
,29/06/2024,,,,,,,
,30/06/2024,,,,,,,
,01/07/2024,,,,,,,
,02/07/2024,,,,,,,
,03/07/2024,,,,,,,
,04/07/2024,,,,,,,
,05/07/2024,,,,,,,
,06/07/2024,,,,,,,
,07/07/2024,,,,,,,
,08/07/2024,,,,,,,
,09/07/2024,,,,,,,
,10/07/2024,,,,,,,
,11/07/2024,,,,,,,
,12/07/2024,,,,,,,
,13/07/2024,,,,,,,
,14/07/2024,,,,,,,
,15/07/2024,,,,,,,
,16/07/2024,,,,,,,
,17/07/2024,,,,,,,
,18/07/2024,,,,,,,
,19/07/2024,,,,,,,
,20/07/2024,,,,,,,
,21/07/2024,,,,,,,
,22/07/2024,,,,,,,
,23/07/2024,,,,,,,
,24/07/2024,,,,,,,
,25/07/2024,,,,,,,
,26/07/2024,,,,,,,
,27/07/2024,,,,,,,
,28/07/2024,,,,,,,
,29/07/2024,,,,,,,
,30/07/2024,,,,,,,
,31/07/2024,,,,,,,
,01/08/2024,,,,,,,
,02/08/2024,,,,,,,
,03/08/2024,,,,,,,
,04/08/2024,,,,,,,
,05/08/2024,,,,,,,
,06/08/2024,,,,,,,
,07/08/2024,,,,,,,
,08/08/2024,,,,,,,
,09/08/2024,,,,,,,
,10/08/2024,,,,,,,
,11/08/2024,,,,,,,
,12/08/2024,,,,,,,
,13/08/2024,,,,,,,
,14/08/2024,,,,,,,
,15/08/2024,,,,,,,
,16/08/2024,,,,,,,
,17/08/2024,,,,,,,
,18/08/2024,,,,,,,
,19/08/2024,,,,,,,
,20/08/2024,,,,,,,
,21/08/2024,,,,,,,
,22/08/2024,,,,,,,
,23/08/2024,,,,,,,
,24/08/2024,,,,,,,
,25/08/2024,,,,,,,
,26/08/2024,,,,,,,
,27/08/2024,,,,,,,
,28/08/2024,,,,,,,
,29/08/2024,,,,,,,
,30/08/2024,,,,,,,
,31/08/2024,,,,,,,
,01/09/2024,,,,,,,
,02/09/2024,,,,,,,
,03/09/2024,,,,,,,
,04/09/2024,,,,,,,
,05/09/2024,,,,,,,
,06/09/2024,,,,,,,
,07/09/2024,,,,,,,
,08/09/2024,,,,,,,
,09/09/2024,,,,,,,
,10/09/2024,,,,,,,
,11/09/2024,,,,,,,
,12/09/2024,,,,,,,
,13/09/2024,,,,,,,
,14/09/2024,,,,,,,
,15/09/2024,,,,,,,
,16/09/2024,,,,,,,
,17/09/2024,,,,,,,
,18/09/2024,,,,,,,
,19/09/2024,,,,,,,
,20/09/2024,,,,,,,
,21/09/2024,,,,,,,
,22/09/2024,,,,,,,
,23/09/2024,,,,,,,
,24/09/2024,,,,,,,
,25/09/2024,,,,,,,
,26/09/2024,,,,,,,
,27/09/2024,,,,,,,
,28/09/2024,,,,,,,
,29/09/2024,,,,,,,
,30/09/2024,,,,,,,
,01/10/2024,,,,,,,
,02/10/2024,,,,,,,
,03/10/2024,,,,,,,
,04/10/2024,,,,,,,
,05/10/2024,,,,,,,
,06/10/2024,,,,,,,